account_id,plan,mrr,payment_method,churned
3668-QPYBK,Month-to-month,53.85,Mailed check,Yes
9237-HQITU,Month-to-month,70.7,Electronic check,Yes
9305-CDSKC,Month-to-month,99.65,Electronic check,Yes
7892-POOKP,Month-to-month,104.8,Electronic check,Yes
0280-XJGEX,Month-to-month,103.7,Bank transfer (automatic),Yes
4190-MFLUW,Month-to-month,55.2,Credit card (automatic),Yes
8779-QRDMV,Month-to-month,39.65,Electronic check,Yes
1066-JKSGK,Month-to-month,20.15,Mailed check,Yes
6467-CHFZW,Month-to-month,99.35,Electronic check,Yes
8665-UTDHZ,Month-to-month,30.2,Electronic check,Yes
8773-HHUOZ,Month-to-month,64.7,Mailed check,Yes
6047-YHPVI,Month-to-month,69.7,Electronic check,Yes
5380-WJKOV,Month-to-month,106.35,Electronic check,Yes
8168-UQWWF,Month-to-month,97.85,Bank transfer (automatic),Yes
7760-OYPDY,Month-to-month,80.65,Electronic check,Yes
9420-LOJKX,Month-to-month,99.1,Credit card (automatic),Yes
7495-OOKFY,Month-to-month,80.65,Credit card (automatic),Yes
1658-BYGOY,Month-to-month,95.45,Electronic check,Yes
5698-BQJOH,Month-to-month,94.4,Electronic check,Yes
5919-TMRGD,Month-to-month,79.35,Electronic check,Yes
9191-MYQKX,Month-to-month,75.15,Bank transfer (automatic),Yes
8637-XJIVR,Month-to-month,78.95,Electronic check,Yes
0278-YXOOG,Month-to-month,21.05,Mailed check,Yes
4598-XLKNJ,Month-to-month,98.5,Electronic check,Yes
3192-NQECA,Two year,110.0,Bank transfer (automatic),Yes
0486-HECZI,Month-to-month,96.75,Electronic check,Yes
4846-WHAFZ,Month-to-month,76.5,Electronic check,Yes
5299-RULOA,Month-to-month,100.25,Electronic check,Yes
0404-SWRVG,Month-to-month,74.4,Electronic check,Yes
4412-YLTKF,Month-to-month,78.05,Electronic check,Yes
6207-WIOLX,Month-to-month,58.6,Credit card (automatic),Yes
3091-FYHKI,Month-to-month,35.45,Electronic check,Yes
2372-HWUHI,Month-to-month,44.35,Electronic check,Yes
0390-DCFDQ,Month-to-month,70.45,Mailed check,Yes
4080-OGPJL,Month-to-month,71.15,Electronic check,Yes
2135-RXIHG,Month-to-month,45.65,Electronic check,Yes
3874-EQOEP,Month-to-month,95.0,Mailed check,Yes
0867-MKZVY,Month-to-month,82.4,Electronic check,Yes
3376-BMGFE,Month-to-month,70.9,Bank transfer (automatic),Yes
3445-HXXGF,Month-to-month,45.3,Electronic check,Yes
1875-QIVME,Month-to-month,104.4,Electronic check,Yes
0691-JVSYA,One year,94.85,Bank transfer (automatic),Yes
2656-FMOKZ,Month-to-month,74.45,Mailed check,Yes
2070-FNEXE,Month-to-month,76.45,Bank transfer (automatic),Yes
6317-YPKDH,Month-to-month,29.95,Bank transfer (automatic),Yes
9367-WXLCH,Month-to-month,84.5,Bank transfer (automatic),Yes
1918-ZBFQJ,Month-to-month,79.25,Electronic check,Yes
1024-GUALD,Month-to-month,24.8,Electronic check,Yes
2472-OVKUP,Month-to-month,91.0,Electronic check,Yes
1285-OKIPP,Month-to-month,79.9,Electronic check,Yes
7825-ECJRF,Month-to-month,106.6,Electronic check,Yes
7841-TZDMQ,Month-to-month,46.0,Credit card (automatic),Yes
9408-SSNVZ,Month-to-month,70.15,Electronic check,Yes
0742-MOABM,Month-to-month,50.05,Mailed check,Yes
2232-DMLXU,Month-to-month,55.2,Mailed check,Yes
8937-RDTHP,Month-to-month,84.6,Mailed check,Yes
1251-KRREG,Month-to-month,54.4,Mailed check,Yes
0094-OIFMO,Month-to-month,95.0,Electronic check,Yes
9947-OTFQU,Month-to-month,74.4,Electronic check,Yes
0322-YINQP,Month-to-month,48.55,Mailed check,Yes
4629-NRXKX,Month-to-month,70.4,Electronic check,Yes
9514-JDSKI,Month-to-month,40.2,Electronic check,Yes
4959-JOSRX,Month-to-month,44.6,Credit card (automatic),Yes
7273-TEFQD,Month-to-month,41.15,Electronic check,Yes
3606-TWKGI,Month-to-month,106.9,Electronic check,Yes
6323-AYBRX,Two year,19.35,Mailed check,Yes
4385-GZQXV,Month-to-month,94.45,Electronic check,Yes
6366-ZGQGL,Month-to-month,24.8,Bank transfer (automatic),Yes
5940-AHUHD,Month-to-month,70.6,Mailed check,Yes
6432-TWQLB,Month-to-month,85.4,Electronic check,Yes
4484-GLZOU,Month-to-month,105.05,Electronic check,Yes
9512-UIBFX,Month-to-month,95.15,Mailed check,Yes
5583-SXDAG,Month-to-month,70.0,Electronic check,Yes
3488-PGMQJ,Month-to-month,74.5,Electronic check,Yes
3580-REOAC,Month-to-month,44.85,Credit card (automatic),Yes
7534-BFESC,Month-to-month,76.1,Electronic check,Yes
6390-DSAZX,Month-to-month,73.6,Mailed check,Yes
8098-LLAZX,Month-to-month,95.45,Electronic check,Yes
0265-EDXBD,Month-to-month,74.9,Electronic check,Yes
7563-BIUPC,Month-to-month,80.6,Electronic check,Yes
2321-OMBXY,One year,80.3,Credit card (automatic),Yes
2840-XANRC,Month-to-month,93.15,Electronic check,Yes
5020-ZSTTY,One year,82.45,Bank transfer (automatic),Yes
5804-LEPIM,Month-to-month,70.35,Electronic check,Yes
0122-OAHPZ,Month-to-month,73.85,Electronic check,Yes
2868-SNELZ,Month-to-month,80.6,Mailed check,Yes
4322-RCYMT,One year,75.8,Bank transfer (automatic),Yes
6680-NENYN,Two year,104.6,Electronic check,Yes
1343-EHPYB,Month-to-month,103.4,Electronic check,Yes
2034-GDRCN,Month-to-month,90.4,Electronic check,Yes
0219-YTZUE,Month-to-month,84.8,Bank transfer (automatic),Yes
0623-IIHUG,Month-to-month,41.9,Electronic check,Yes
4572-DVCGN,Month-to-month,80.25,Bank transfer (automatic),Yes
9057-MSWCO,Month-to-month,30.75,Credit card (automatic),Yes
1010-DIAUQ,Month-to-month,96.5,Bank transfer (automatic),Yes
0259-GBZSH,Month-to-month,85.65,Electronic check,Yes
9601-BRXPO,Month-to-month,104.95,Bank transfer (automatic),Yes
6905-NIQIN,Month-to-month,50.65,Mailed check,Yes
5167-ZFFMM,Month-to-month,90.85,Credit card (automatic),Yes
4895-TMWIR,Month-to-month,19.95,Mailed check,Yes
0533-BNWKF,Month-to-month,85.45,Electronic check,Yes
6599-CEBNN,Month-to-month,73.95,Credit card (automatic),Yes
0979-PHULV,Month-to-month,99.45,Credit card (automatic),Yes
4800-VHZKI,Month-to-month,19.9,Mailed check,Yes
7989-CHGTL,Month-to-month,19.6,Mailed check,Yes
0334-GDDSO,Month-to-month,81.35,Electronic check,Yes
0578-SKVMF,Month-to-month,83.3,Electronic check,Yes
5564-NEMQO,Month-to-month,75.3,Bank transfer (automatic),Yes
9063-ZGTUY,Month-to-month,19.4,Mailed check,Yes
2957-LOLHO,Month-to-month,45.4,Bank transfer (automatic),Yes
7752-XUSCI,Month-to-month,105.9,Electronic check,Yes
4110-PFEUZ,Month-to-month,69.55,Mailed check,Yes
0256-LTHVJ,Month-to-month,81.05,Electronic check,Yes
0880-TKATG,Month-to-month,101.15,Electronic check,Yes
3811-VBYBZ,Month-to-month,99.8,Electronic check,Yes
4640-UHDOS,Month-to-month,55.95,Electronic check,Yes
3583-EKAPL,Month-to-month,55.0,Electronic check,Yes
9399-APLBT,Month-to-month,74.7,Electronic check,Yes
2359-KMGLI,Month-to-month,80.25,Electronic check,Yes
0306-JAELE,Month-to-month,96.1,Electronic check,Yes
6227-HWPWX,Month-to-month,69.0,Bank transfer (automatic),Yes
0447-BEMNG,Month-to-month,45.3,Bank transfer (automatic),Yes
5949-XIKAE,Month-to-month,83.55,Electronic check,Yes
8372-JUXUI,Month-to-month,74.35,Electronic check,Yes
0388-EOPEX,Month-to-month,74.4,Electronic check,Yes
8205-OTCHB,One year,43.75,Bank transfer (automatic),Yes
6235-VDHOM,Month-to-month,28.45,Electronic check,Yes
7783-YKGDV,Month-to-month,99.7,Bank transfer (automatic),Yes
5609-CEBID,Month-to-month,94.1,Electronic check,Yes
7218-HKQFK,Month-to-month,94.2,Electronic check,Yes
4636-QRJKY,Month-to-month,80.5,Electronic check,Yes
5956-VKDTT,Month-to-month,74.35,Electronic check,Yes
9412-GHEEC,Month-to-month,104.8,Bank transfer (automatic),Yes
0257-ZESQC,Month-to-month,75.2,Bank transfer (automatic),Yes
6825-UYPFK,Month-to-month,75.6,Bank transfer (automatic),Yes
8397-MVTAZ,Month-to-month,100.05,Electronic check,Yes
9282-IZGQK,Month-to-month,85.0,Electronic check,Yes
1342-JPNKI,Month-to-month,86.05,Bank transfer (automatic),Yes
2817-NTQDO,Month-to-month,45.55,Credit card (automatic),Yes
6986-IJDHX,Month-to-month,86.3,Mailed check,Yes
5301-GAUUY,Month-to-month,80.35,Bank transfer (automatic),Yes
0939-YAPAF,Month-to-month,100.25,Electronic check,Yes
4710-FDUIZ,One year,100.3,Credit card (automatic),Yes
1218-VKFPE,Month-to-month,19.0,Mailed check,Yes
3627-FHKBK,Month-to-month,75.3,Mailed check,Yes
2865-TCHJW,Month-to-month,89.2,Electronic check,Yes
5192-EBGOV,Month-to-month,85.7,Electronic check,Yes
0719-SYFRB,Month-to-month,61.65,Mailed check,Yes
3419-SNJJD,Month-to-month,105.25,Bank transfer (automatic),Yes
6543-CPZMK,Month-to-month,29.95,Electronic check,Yes
4765-OXPPD,Month-to-month,65.0,Mailed check,Yes
1009-IRMNA,Month-to-month,20.0,Bank transfer (automatic),Yes
4554-YGZIH,Month-to-month,90.05,Credit card (automatic),Yes
5099-BAILX,Month-to-month,110.75,Bank transfer (automatic),Yes
7207-RMRDB,Month-to-month,105.5,Electronic check,Yes
4913-EHYUI,One year,104.55,Bank transfer (automatic),Yes
0195-IESCP,Month-to-month,85.25,Electronic check,Yes
4580-TMHJU,Month-to-month,56.15,Electronic check,Yes
0970-ETWGE,Month-to-month,89.55,Electronic check,Yes
1626-ERCMM,Month-to-month,94.55,Electronic check,Yes
0887-HJGAR,Month-to-month,45.7,Mailed check,Yes
5644-PDMZC,Month-to-month,89.5,Electronic check,Yes
9576-ANLXO,Month-to-month,69.55,Bank transfer (automatic),Yes
2024-BASKD,Month-to-month,74.6,Mailed check,Yes
4160-AMJTL,Month-to-month,19.65,Electronic check,Yes
4464-JCOLN,One year,19.85,Mailed check,Yes
5650-VDUDS,Month-to-month,24.25,Mailed check,Yes
7538-GWHML,Month-to-month,69.65,Electronic check,Yes
3859-CVCET,Month-to-month,45.65,Mailed check,Yes
3276-HDUEG,Month-to-month,75.05,Mailed check,Yes
0823-HSCDJ,Month-to-month,49.15,Electronic check,Yes
0822-GAVAP,Month-to-month,34.7,Electronic check,Yes
1448-PWKYE,Month-to-month,80.0,Electronic check,Yes
0067-DKWBL,Month-to-month,49.25,Electronic check,Yes
2276-YDAVZ,Month-to-month,75.1,Credit card (automatic),Yes
5896-NPFWW,Month-to-month,50.15,Electronic check,Yes
7133-VBDCG,Month-to-month,79.85,Bank transfer (automatic),Yes
1029-QFBEN,Month-to-month,19.55,Mailed check,Yes
4952-YSOGZ,Month-to-month,85.95,Electronic check,Yes
1589-AGTLK,Month-to-month,45.35,Electronic check,Yes
5244-IRFIH,Month-to-month,94.5,Electronic check,Yes
2684-EIWEO,Month-to-month,91.7,Credit card (automatic),Yes
6439-GTPCA,Month-to-month,87.25,Electronic check,Yes
5138-WVKYJ,Month-to-month,98.55,Electronic check,Yes
6683-VLCTZ,Month-to-month,98.55,Electronic check,Yes
2189-WWOEW,Month-to-month,85.9,Bank transfer (automatic),Yes
1894-IGFSG,Month-to-month,89.25,Electronic check,Yes
7379-POKDZ,Month-to-month,70.3,Electronic check,Yes
0236-HFWSV,Month-to-month,93.35,Electronic check,Yes
3900-AQPHZ,Month-to-month,19.9,Mailed check,Yes
5842-POCOP,Month-to-month,88.9,Mailed check,Yes
2037-XJFUP,One year,95.8,Electronic check,Yes
7314-OXENN,Month-to-month,82.0,Electronic check,Yes
0322-CHQRU,Month-to-month,45.35,Electronic check,Yes
4678-DVQEO,Month-to-month,52.2,Electronic check,Yes
0691-IFBQW,One year,110.0,Electronic check,Yes
3009-JWMPU,One year,96.75,Electronic check,Yes
1450-GALXR,Month-to-month,98.5,Electronic check,Yes
3138-BKYAV,Month-to-month,85.35,Electronic check,Yes
4289-DTDKW,Month-to-month,101.3,Electronic check,Yes
1820-TQVEV,Month-to-month,69.55,Electronic check,Yes
2239-JALAW,One year,103.25,Bank transfer (automatic),Yes
4853-RULSV,Two year,104.0,Credit card (automatic),Yes
6275-YDUVO,Month-to-month,86.2,Mailed check,Yes
0115-TFERT,Month-to-month,111.2,Electronic check,Yes
2311-QYMUQ,Month-to-month,89.45,Credit card (automatic),Yes
3643-AHCFP,Month-to-month,95.6,Bank transfer (automatic),Yes
3104-OWCGK,One year,90.95,Electronic check,Yes
9101-BWFSS,One year,108.55,Electronic check,Yes
